City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,severo-yeniseyskiy,60.3725,93.0408,-24.42,89,100,6.05,RU,1737658453
288,al kharijah,25.4514,30.5464,15.45,47,0,3.51,EG,1737658455
289,salekhard,66.53,66.6019,-21.78,99,100,1.23,RU,1737658456
290,vievis,54.7667,24.8,1.88,78,100,5.53,LT,1737658457
291,sarmiento,-45.5882,-69.07,22.45,26,55,12.66,AR,1737658458
292,merizo village,13.2658,144.6691,27.31,84,33,8.22,GU,1737658459
293,mermoz boabab,14.7065,-17.4758,20.88,73,0,6.17,SN,1737658460
294,simferopol,44.9572,34.1108,4.71,85,59,2.32,UA,1737658461
295,luanda,-8.8368,13.2343,27.0,78,20,5.66,AO,1737658317
296,puerto baquerizo moreno,-0.9,-89.6,28.55,70,40,4.12,EC,1737658463
297,ajdabiya,30.7554,20.2263,16.92,34,100,2.32,LY,1737658464
298,willemstad,12.1084,-68.9335,30.95,66,20,6.17,CW,1737658466
299,coquimbo,-29.9533,-71.3436,21.66,52,0,6.69,CL,1737658467
300,taybad,34.74,60.7756,2.69,64,100,4.78,IR,1737658468
301,la mira,18.035,-102.3266,28.98,43,0,3.78,MX,1737658469
302,oranjemund,-28.55,16.4333,18.75,89,0,4.49,NA,1737658470
303,masuguru,-11.3667,38.4167,25.89,70,87,1.03,TZ,1737658471
304,korla,41.7597,86.1469,-4.22,43,100,3.39,CN,1737658472
305,mokhsogollokh,61.4681,128.9203,-23.38,99,51,1.05,RU,1737658473
306,lagos,6.5833,3.75,27.04,80,100,3.14,NG,1737657763
307,ulsteinvik,62.3432,5.8487,2.09,85,100,0.45,NO,1737658475
308,abaza,52.655,90.0928,-18.95,88,98,3.03,RU,1737658476
309,divnomorskoye,44.5011,38.1353,8.4,88,100,3.44,RU,1737658477
310,solleftea,63.1667,17.2667,-5.08,96,100,1.31,SE,1737658478
311,faya-largeau,17.9257,19.1043,22.85,21,0,7.92,TD,1737658480
312,chonchi,-42.6128,-73.8092,15.79,64,100,3.16,CL,1737658481
313,constantia,44.1833,28.65,5.38,79,6,2.65,RO,1737658482
314,sandnessjoen,66.0217,12.6316,-5.94,63,0,1.54,NO,1737658483
315,arboletes,8.8505,-76.4269,29.63,69,33,3.7,CO,1737658485
316,bomi,7.2461,-11.5258,26.37,71,8,3.08,SL,1737658486
317,sulphur springs,33.1385,-95.6011,10.4,32,0,3.6,US,1737658488
318,bayganin,48.6947,55.8742,-15.92,75,100,8.23,KZ,1737658489
319,atoyac de alvarez,17.2,-100.4333,30.56,51,0,2.48,MX,1737658490
320,refahiye,39.9008,38.7667,-3.28,95,100,1.87,TR,1737658491
321,rio grande,-32.035,-52.0986,27.03,63,99,5.4,BR,1737658492
322,nanguneri,8.4933,77.6581,22.45,82,30,3.5,IN,1737658494
323,kutum,14.2,24.6667,19.51,17,0,5.72,SD,1737658495
324,tangalle,6.024,80.7911,24.44,79,100,5.36,LK,1737658496
325,axim,4.8699,-2.2405,26.93,82,100,4.37,GH,1737658498
326,mawu,34.4307,104.9176,0.22,99,100,1.65,CN,1737658499
327,susuman,62.7833,148.1667,-37.96,100,96,1.02,RU,1737658500
328,nova vicosa,-17.8919,-39.3719,29.08,65,56,3.96,BR,1737658501
329,macapa,0.0389,-51.0664,31.99,62,40,4.12,BR,1737658502
330,barah,13.7,30.3667,23.34,19,19,5.73,SD,1737658503
331,mirnyy,62.5353,113.9611,-12.63,84,100,6.52,RU,1737658504
332,tolstoy-yurt,43.4444,45.7722,0.18,86,0,1.0,RU,1737658505
333,xianyang,34.3378,108.7026,2.58,87,100,2.0,CN,1737658506
